,stock_large,stock_small,bond,stock_HongKong,stock_US
2005/10/21,0.4999,0.9561,-0.0179,0.5476,0.152
2005/10/24,0.2475,0.305,-0.0715,-0.5901,1.6777
2005/10/25,-1.3655,-2.2478,0.0536,0.1564,-0.2368
2005/10/26,-2.0634,-2.6834,-0.0804,0.2306,-0.4312
2005/10/27,0.0033,-0.7535,-0.1341,-0.5331,-1.0475
2005/10/28,-0.9271,-2.6581,-0.1791,-1.1489,1.6549
2005/10/31,0.9857,0.4358,-0.1076,1.1996,0.7176
2005/11/1,-0.3899,-0.6433,0.0359,1.2921,-0.3521
2005/11/2,1.1013,2.0633,0.009,0.1731,0.9977
2005/11/3,-0.8955,-1.3578,0,0.0282,0.4264
2005/11/4,0.4329,0.7499,-0.0718,-0.1082,0.0164
